alibi	altrove	en otra parte, en otro lado	ailleurs, autre part, quelque part d'autre	elsewhere	
aliquando	talvolta, qualche volta, a volte	a veces	parfois, quelquefois, des fois, de temps en temps, de temps à autre, occasionnellement	sometimes	時々
allegoricus	allegorico	alegórico, alegórica	allégorique	allegorical	
alligator					
allium	aglio	ajo	ail, ail cultivé, ail commun, ail de cuisine, chapon, perdrix, thériaque des pauvres, thériaque des paysans	garlic	大蒜
alphabetum	alfabeto	alfabeto, abecé, abecedario	alphabet	alphabet	アルファベット
aluminium	alluminio	aluminio	aluminium	aluminium	アルミニウム
alveus	alveare, arnia	panal	ruche	hive, beehive	
alvi profluvium	diarrea	diarrea, colitis	diarrhée, colique, dérangement, dérangement intestinal, dérangement de corps, dérangement d'entrailles, dérangement de ventre	diarrhea, diarrhoea, diarrhœa	下痢
amans	ragazza, fidanzata	novia	petite amie, petite copine, copine	girlfriend, gf	ガールフレンド
amare	amare	amar	aimer	love	愛する, 恋する
amarus	amaro	amargo, amarga	amer	bitter	苦い
America	Americhe, America, Americhe, continente americano	América, Continente Americano	Les Amériques, Amérique	Americas, America	アメリカ州
americium	americio	americio	américium	americium	アメリシウム, アメリシウム, アメリシウム, アメリシウム, アメリシウム
amicus	compagno, amico	aliado, compañero	ami, allié	friend, ally	
amita	zia	tía	tante, tatie	aunt, aunty, auntie	おば, 叔母, 伯母
amiticia		amistad	amitié	friendship	友情
amittere	perdere	perder	perdre	lose	負ける
amitto memoriam	dimenticare, scordare	olvidar, desconocer	oublier	forget	忘失, 忘れる
amor	amore	amor	amour	love	愛
amphibius	anfibio	anfibio	amphibie	amphibious	
amphiprostylos	anfiprostilo	anfipróstilo	amphiprostyle	amphiprostyle	
amphitheatrum	anfiteatro	anfiteatro	amphithéâtre	amphitheatre	円形劇場
Amphitheatrum Flavium	Anfiteatro Flavio, Colosseo	Coliseo	Colisée, amphithéâtre Flavien	Colosseum, Coliseum, Flavian Amphitheatre	コロッセオ
amphora	anfora	ánfora	amphore	amphora	アンフォラ
amplexus	abbraccio	abrazamiento, abrazo	étreinte	hug, embrace	
amplius	ulteriore	adicionalmente, además, más a fondo	de plus, en outre, de surcroît, par ailleurs, en plus, par surcroît, d'autre part, au reste, du reste, au surplus, qui plus est, au par delà de cela	further, moreover, furthermore, besides, what's more, what is more, in addition	その上
amylum	amido	almidón	amidon	starch	澱粉
amātrix	ragazza, fidanzata	novia	petite amie, petite copine, copine	girlfriend, gf	ガールフレンド
amīca	ragazza, fidanzata	novia	petite amie, petite copine, copine	girlfriend, gf	ガールフレンド
amīcula	ragazza, fidanzata	novia	petite amie, petite copine, copine	girlfriend, gf	ガールフレンド
anabathrum	ascensore	ascensor, elevador	ascenseur, élévateur	lift, lift, elevator	エレベーター, 昇降機
anaemia	anemia	anemia	anémie, aglobulie, pauvreté du sang	anemia, anaemia, anæmia	貧血, 貧血症
anaesthesia	anestesia	anestesia	anesthésie, insensibilisation		麻酔
anaticula	anatroccolo	patito	canardeau, caneton	duckling	
anatomia	anatomia	anatomía	anatomie	anatomy	解剖学
ancora	ancora	ancla, ancora, áncora	ancre	anchor	錨
Andorra	Andorra	Andorra	Andorre, Principauté d'Andorre	Andorra, Principality of Andorra	アンドラ
Angelopolis	Los Angeles	Los Ángeles	Los Angeles	Los Angeles, City of Angels	ロサンゼルス
anguilla	anguilla	anguila, angula, angula	anguille	eel	鰻, ウナギ
angustus	stretto	estrecho, estrecha	étroit	narrow	狭い
aniba	mango, mangifera indica	mango, árbol de mango	manguier	mango, mango tree	マンゴー
anima	anima; psiche, anima	alma; alma	âme; âme	soul; soul	魂, 霊; 
anniversarie	annualmente	anualmente	annuellement	annually	
Anno Domini	a.C., avanti Cristo; dopo Cristo, d.C., d. C., Anno Domini	antes de Cristo; después de Cristo	avant Jésus-Christ, av. J.-C.; Anno Domini, après Jésus-Christ, ap. J.-C.	Before Christ, BC, B. C., B.C., BCE, Before the Common Era; Anno Domini, AD, A.D., CE, Common Era	
annotatio	annotazione	anotación	annotation	annottation, annotation	
annulus	anello	anillo, aro	anneau, bague	ring	指輪
annulus sponsalitius	anello matrimoniale, anello nuziale, fede	anillo matrimonial, alianza, anillo de boda	alliance	wedding ring, wedding band	ウェディングリング, 結婚指輪
anormalitas	anormalità	anormalidad, anomalía	anomalie	abnormality, abnormity	
anser	oca	ánsar, ganso, oca	oie	goose	ガチョウ, 鵝鳥
ante	prima, innanzi	antes	avant	before	前に
ante Christum	a.C., avanti Cristo	antes de Cristo	avant Jésus-Christ, av. J.-C.	Before Christ, BC, B. C., B.C., BCE, Before the Common Era	
Ante litteram	ante litteram	ante litteram	avant la lettre	forerunner	
ante meridiem	di mattina; a.m., antimeridiano	; AM, ante merídiem, a.m.	; du matin	; AM, a.m., A.M.	; 午前
ante victoriam ne canas triumphum	non dire gatto se non ce l'hai nel sacco	no vender la piel del oso antes de cazarlo, no contar los pollos antes de nacer	il ne faut pas vendre la peau de l’ours avant de l’avoir tué	don't count your chickens before they're hatched	捕らぬ狸の皮算用
Antependium	paliotto		antependium	Antependium, antependium	
antependium	paliotto		antependium	Antependium, antependium	
anthera	antera	antera	anthère	anther, stamen	
Antillae Nederlandiae	Antille olandesi	Antillas Neerlandesas	Antilles néerlandaises	Netherlands Antilles, Dutch Antilles	オランダ領アンティル諸島
antipapa	antipapa	antipapa		antipope	対立教皇
anus	ano	ano	anus	anus, asshole, arsehole	肛門
anxietas	ansia	ansiedad	anxiété	anxiety	不安
anísum	anice	anís	anis	anise, aniseed	アニス
aper	cinghiale	jabalí	sanglier	boar, wild hog, wild boar	猪, イノシシ
aperire	aprire	abrir, destapar	ouvrir	open	開く
apertura nasalis posterior			choane, arrière-narine	choana, posterior nasal aperture	
apiarium	alveare	colmena	ruche	beehive, hive	
apicultura	apicoltura, apicultura	apicultura	apiculture	apiculture, beekeeping	大規模な養蜂, 養蜂
apis	api, ape	abeja	abeille	bee	ハチ, 蜂
apium	sedano	apio	céleri, ache des marais, persil des marais, cèleri	celery	セロリ
apocalypsis	apocalisse	apocalipsis, apocalipsis de Juan	apocalypse	apocalypse, Apocalypse, Book of Revelation, Apocalypse of John, Book of the Revelation of John, Revelation of Saint John the Divine, Revelation, Apocalypse of St. John	
apocryphi	libri apocrifi	apócrifos, textos apócrifos	apocryphes	apocrypha	
apogaeum	apogeo	apogeo	apogée	apogee	遠地点
apotheosis	apoteosi	apoteosis	apothéose	apotheosis	
apparatus digestorius	apparato digerente, tratto gastrointestinale, apparato gastrointestinale	tubo digestivo, aparato digestivo, sistema digestivo	système gastro-intestinal, tube digestif	gastrointestinal tract, alimentary canal, digestive tract, GI tract, gut	消化器, 消化管
apponere	apporre, accodare, aggiungere	añadir, anexar, adicionar	apposer	append	
appositio	apposizione	aposición	apposition	apposition	
aprilis	aprile	abril	avril	April	四月, 卯月, 4月
Aprilis	aprile	abril	avril	April	四月, 卯月, 4月
Aprīlis	aprile	abril	avril	April	四月, 卯月, 4月
aptabilitas	adattabilità	adaptabilidad	adaptabilité	adaptability, flexibility	
apyrenum	melograno	granada	grenade	pomegranate	
aqua	acqua	agua	eau	water	水
aquarium	acquario	acuario	aquarium	aquarium	水族館
Arabia	Pensiola Arabica, Penisola arabica	Arabia, Península Arábiga	Arabie	Arabian Peninsula, Arabia, Arabian subcontinent	アラビア半島
arachis	arachide, scachetto, nocciolina	cacahuete, maní, cacahuate	arachide, cacahuete, cacahouète, cacahuète, pinotte, pistache de terre	peanut, groundnut, earthnut, goober, pinda, jack nut, monkey nut	ラッカセイ, 落花生, ピーナツ, ピーナッツ
aranea	ragni, ragno	arañas, araña	araignée, aranéide	spider	蜘蛛, クモ
araneus	ragni, ragno	arañas, araña	araignée, aranéide	spider	蜘蛛, クモ
arantius	arancione, arancio	anaranjado, naranja, amarilla, anaranjada	orange	orange	オレンジ色の, 橙色の
aratrum	aratro	arado	charrue	plough	鋤, 鍬
arbor	albero	árbol	arbre	tree	木, 樹木
arbuscula	arbusto, cespuglio	arbustos, arbusto	arbuste, arbrisseau	shrub	低木, 灌木
arcarius	arciere	arquero, arquera, flechero, flechera	archer	archer, archer, bowman	射手
archaicus	arcaico	arcaico, arcaica	archaïque	archaic	
archangelus	arcangelo	arcángel	archange	archangel	
architectus	architetto	arquitecto, arquitecta	architecte	architect	建築家
archium	archivio	archivo	archive	archive	書庫, 文書の保管所
arcus	arcobaleno, iride; arco	arco iris; arco	arc-en-ciel; arc	rainbow; bow	虹; 弓
area			aire, aire à battre	threshing floor, thrashing floor, threshing-floor	
Argentina	Argentina	Argentina	Argentine	Argentina, Argentine Republic	アルゼンチン
argentum	argento	plata	argent	silver	銀
arma	arma	arma	arme	weapon	武器
Armamix	Automatix	Esautomatix	Cétautomatix	Fulliautomatix	
armeniacum	albicocca	albaricoque, damasco, chabacano	abricot, prune d’Arménie, pomme d'Arménie, prune d'Arménie	apricot	杏子
armilla	bracciale, braccialetto	brazalete, pulsera	bracelet	bracelet, wristlet	ブレスレット, 腕輪
ars	arte; mestiere, professione	arte; profesión	art; profession, métier, profession	art; profession	技術, 芸術, アート, 美術; 職業
ars athletica	atletismo, atletica	atletismo	athlétisme		運動競技
arsenicum	arsenico	arsénico	arsenic	arsenic	ヒ素, 砒素
artifex	artigiano	artífice	artisan	artificer, craftsman, artisan	
artificium	artificio; mestiere, professione	artificio; profesión	artifice; profession, métier, profession	artifice; profession	; 職業
artium baccalaureus			baccalauréat en arts, baccalauréat ès arts	Bachelor of Arts, B.A., A.B., BA, AB	
artkafa kemiği	osso occipitale	hueso occipital	os occipital	occipital bone	
Ascensio Domini	Ascensione	Ascensión	Ascension du Seigneur, Ascension du Christ, Ascension, jeudi de l'Ascension, jour de l'Ascension	Ascension Day, Ascension, Ascension of the Lord	キリストの昇天
Asia	Asia	Asia	Asie	Asia	アジア
asparagus	asparago	espárrago	asperge	asparagus	アスパラガス
aspectus grammaticus	aspetto	aspecto gramatical, aspecto verbal	aspect grammatical, aspect	aspect, grammatical aspect	
aspis	aspide	áspid		asp	
assuefacio	abituarsi, abituare	soler, acostumbrarse, acostumbrar	accoutumer	use to, accustom	
astatinum	astato	astato	astate	astatine	アスタチン
Asterix	Asterix	Asterix, Astérix	Astérix	Asterix	アステリックス
ater	nero	negro	noir	black	黒い
athleta	atleta	deportista, atleta, atleta	athlète, athlète	athlete, jock	
attollo	boa	boya, baliza	balise, bouée	buoy	ブイ, 浮標
aucella	pulcino, uccellino	polluelo, pichón	oisillon, poussin	nestling, chick, fledgling	雛
audacia	audacia, temerarietà; 	audacia; temeridad	audace; impudence, témérité	audacity, audaciousness, temerity; temerity, impudence	
audire	sentire, ascoltare	oír	entendre, ouïr	hear	聞く
augurium	presagio, augurio	presagio, augurio	présage, augure, auspice	omen, augury, portent, abodance, portending, abode, foreboding, forboding, abodement, aboding	
augustus	agosto; agosto	agosto; agosto	août, aout; août, aout	August; August	八月, 葉月, 8月; 八月, 葉月, 8月
Augustus	agosto	agosto	août, aout	August	八月, 葉月, 8月
aula magna	aula	aula	salle de classe	classroom	教室, 教場
aurichalcum	ottone	latón	laiton	brass	真鍮
auricilla	orecchio, oreia, orecchie, orecchia	oreja, oído, oreja	oreille	ear	耳
auricula	orecchio, oreia, orecchie, orecchia	oreja, oído, oreja	oreille	ear	耳
auris	orecchio, oreia, orecchie, orecchia	oreja, oído, oreja	oreille	ear	耳
aurora	alba, aurora	alba, aurora, amanecer, madrugada, dilúculo, lubricán, crepúsculo matutino	aube, pointe du jour	dawn	明け方
aurum	oro	oro	or	gold	金
auspicium	presagio, augurio	presagio, augurio	présage, augure, auspice	omen, augury, portent, abodance, portending, abode, foreboding, forboding, abodement, aboding	
authenticus	autentico	auténtico, genuino, auténtica, genuina	authentique	genuine, authentic	
autocinetum	automobile, auto, autovettura, autoveicolo, macchina	coche, carro, auto, automóvil	automobile, voiture, bagnole	car, automobile	自動車, 車
autocinetum infirmorum	ambulanza	ambulancia	ambulance	ambulance	救急車
autocinetum laophoricum	autobus, pullman, bus	camión, autobús, bus, pullman	autobus, bus, car	bus, coach, coach	バス
autocinetum onerarium	autocarro, camion	camión, vehículo de carga	camion	truck, lorry	camion, トラック
automataria gubernatio	automazione, robotizzazione	automatización, robotización	automatisation	automation, roboticization	
autumnalis	autunnale	otoñal	automnal	autumnal	
autumnum	autunnale	otoñal	automnal	autumnal	
autumnus	autunno	otoño	automne	autumn	秋
auxilium	aiuto	ayuda, auxilio	aide	help, aid, relief, ministration	助け, 手助け, 手伝い, ヘルプ
avaritia	avarizia, esosità, taccagneria, tirchieria	avaricia, codez, parsimonia, tacañería, miceria, miseria	avarice, ladrerie, lésine, pingrerie, parcimonie	parsimony, stinginess, niggardliness, penuriousness, miserliness, meanness, costiveness, closefistedness	
avena	avena	avena	avoine	oat, common oat	オートムギ, 烏麦, カラスムギ, 燕麦
avena sativa	avena	avena	avoine	oat, common oat	オートムギ, 烏麦, カラスムギ, 燕麦
avia	nonna	abuela	grand-mère, aïeule	grandmother, granny, grandma, grannie, nanna, nana	おばあさん, 祖母
avicula	pulcino, uccellino	polluelo, pichón	oisillon, poussin	nestling, chick, fledgling	雛
avis	uccello	ave, pájaro	oiseau	bird	鳥, とり
avunculus	zio materno, zio	tío, tío materno	oncle maternel, oncle	maternal uncle, uncle	
avus	nonno	abuelo	grand-père, aïeul	grandfather	祖父, おじいさん
axicia	forbice, forbici	sax, tijeras	ciseaux, paire de ciseaux	scissors, pair of scissors	はさみ, 鋏
axilla	ascella	axila, sobaco	aisselle	armpit, axilla	わきの下
aëroplanum	velivolo, aeromobile, apparecchio aereo	aeronave	appareil volant, aéronef	aircraft	飛行機, 航空機
Aşgabat	Aşgabat	Asjabad	Achgabat, Achkhabad	Ashgabat	アシガバート
Bacchanalia	baccanale, orgia, saturnali	orgía, bacanal, libertinaje, desenfreno, disipación		debauchery, orgy, debauch, saturnalia, riot, bacchanal, bacchanalia, drunken revelry	
balaena	balene, balena	ballenas, ballena	baleine	whale	鯨
Balearis Maior	Maiorca	Mallorca	Majorque, Maïorque, Mayorque	Mallorca, Majorca	マリョルカ島, マジョルカ島, マヨルカ島
balineorum minister	bagnino	bañero	maître nageur	lifeguard	
balnearia	bagno, stanza da bagno	baño, cuarto de baño	salle de bain, salle de bains	bathroom, bath, restroom	バスルーム, 浴室, 風呂場
balneum	bagno, stanza da bagno	baño, cuarto de baño	salle de bain, salle de bains	bathroom, bath, restroom	バスルーム, 浴室, 風呂場
balteus	cintura, cintola, cinghia, cinta	cinturón	ceinture	belt	ベルト, 帯
barba	barba	barba	barbe	beard	髭, 顎鬚, あごひげ, 鬚
Barbata	Barbados	Barbados	Barbade	Barbados	バルバドス
barium	bario	bario	baryum	barium	バリウム
barocus	barocco	barroco, período barroco		baroque	バロック
bassus	basso	grave, bajo, baja	bas, grave	bass	ベース, バス
bellaria	dolciume	dulce	sucreries, confiseries, sucrerie, confiserie	candy	菓子類
bellum	guerra	guerra, conflagración, conflicto, lucha armada	guerre, conflit, hostilités, lutte armée	war, armed conflict	戦争
bellum civile	guerra civile	guerra civil	guerre civile	civil war	内戦
Benedictio Apostolica seu Papalis		bendición papal, bendición apostólica	bénédiction apostolique	papal blessing, apostolic blessing	
Bengalia occidentalis	Bengala Occidentale	Bengala Occidental	Bengale-Occidental	West Bengal	西ベンガル州, 西ベンガル
Beninum	Benin, Benin	Benín	Bénin, Bénin	Benin, Benin, Republic of Benin	ベナン, ベナン
benzinium	benzina	gasolina, nafta, bencina	essence, gaz	petrol, gas, gasoline, petrol	ガソリン
berkelium	berkelio	berkelio	berkélium	berkelium	バークリウム
Bermuda	Bermuda, Bermude; Hamilton	Bermudas; Hamilton	Bermudes; Hamilton	Bermuda; Hamilton	バーミューダ; ハミルトン
beryllium	berillio	berilio, glucinio	béryllium	beryllium, glucinium	ベリリウム
bibere	bere	tomar, beber	boire	drink, gulp, quaff, sip	飲む
Biblia	Bibbia	Biblia	Bible	Bible	聖書
bibliotheca	biblioteca	bibliotecas, biblioteca	bibliothèque, librairie	library	図書館
biceps	dicefalo	bicéfalo, bicéfala	bicéphale	two-headed, dicephalous	
biographia	biografia	biografía	biographie	biography	伝記
birota	bicicletta	bicicletas, bicicleta	bicyclette, vélo, petite reine	bicycle, bike, cycle	自転車
bisemutum	bismuto	bismuto	bismuth	bismuth	ビスマス
blandiri	accarezzare	acariciar	caresser	caress, fondle, stroke	なでる
Blankenese	Blankenese	Blankenese		Blankenese	
blasphemia	blasfemia	blasfemia	blasphème	blasphemy	冒涜
blatta	scarafaggi, blatta, scarafaggio	cucarachas, cucaracha	cafards, cafard, blatte, cancrelat, coquerelle	cockroach	ゴキブリ
bohrium	bohrio	bohrio	bohrium	bohrium	ボーリウム
bona fide	in buona fede	de buena fe	de bonne foi	bona fide, in good faith	
bona fidēs	buona fede	buena fe	bonne foi	good faith	誠意, 誠実
borealis	nord	norte	nord	north	北
borium	boro	boro	bore	boron	ホウ素
boson	bosone	bosón	boson	boson	ボース粒子, ボソン
bracchium	braccio	brazo	bras	arm	腕
brachiale	bracciale, braccialetto	brazalete, pulsera	bracelet	bracelet, wristlet	ブレスレット, 腕輪
brachium	braccio	brazo	bras	arm	腕
branchia	branchia	agalla, branquia	branchie	gill	えら, 鰓, 腮, 顋
Brassica oleracea convar. capitata var. sabauda L.	cavolo di Milano, cavolo verza, cavolo verzetto, verza	col de Milán, col de Saboya, col lombarda	chou de Savoie, chou de Milan, chou cloqué, chou frisé, chou pommé frisé	savoy cabbage, Savoy cabbage	
Brassica oleracea gongylodes	cavolo di Siam, cavolo rapa	col rábano, colinabo, colirrábano	chou-rave, chou de Siam, boule de Siam, chou-pomme, colrave	kohlrabi, cabbage turnip, German turnip, turnip-cabbage, turnip cabbage, kohl rabi	コールラビ
Britanniarum Regnum	Regno Unito, Regno Unito di Gran Bretagna e Irlanda del Nord	Reino Unido, Reino Unido de la Gran Bretaña e Irlanda del Norte	Royaume-Uni, Royaume-Uni de Grande-Bretagne et d'Irlande du Nord	United Kingdom, United Kingdom of Great Britain and Northern Ireland, UK	イギリス, グレートブリテンおよび北アイルランド連合王国, 英国, 連合王国
bromum	bromo	bromo	brome	bromine	臭素
Bruxellae	Bruxelles, Brusselle	Bruselas	Bruxelles	Brussels	ブリュッセル
BSD UNIX	BSD UNIX	BSD UNIX		BSD UNIX	
bubula	manzo	carne de vaca	boeuf, viande de boeuf, bœuf, viande de bœuf	beef	牛肉, ビーフ
bucca	guancia	mejilla	joue	cheek	頬
bullire	bollire, far bollire, portare a ebollizione	hervir, bullir	bouillir, faire bouillir, porter à ébullition	boil, bring to a boil, bring to the boil	沸かす, 沸騰させる, 煮る
Buscum Ducis	Hertogenbosch	Bolduque	Bois-le-Duc	's-Hertogenbosch	スヘルトーヘンボス
butyrum	burro	mantequilla	beurre	butter	バター
caballus	brenna, brocco, bucefalo, ronzino	jamelgo	bourrin, canasson, haridelle, rosse, rossinante	jade, moke, nag	
cacare	defecare, cacare, cagare, andare di corpo, fare la cacca	defecar, cagar	déféquer, chier, faire caca, caguer, aller à la selle, couler un bronze, faire popo, mouler un cake, démouler un cake, poser une pêche, déposer une pêche, tartir	shit, defecate, crap, defæcate, make, take a shit, take a crap, stool, ca-ca	大便をする, くそをする
cadere	cadere	caer	tomber	fall	落ちる
cadmium	cadmio	cadmio	cadmium	cadmium	カドミウム
caecare	accecare, acciecare	cegar	aveugler	blind	
caecigenus					
caecitas	cecità	ceguera	cécité, aveuglement, ablepsie	blindness, cecity, sightlessness, ablepsy, ablepsia	盲目
caecus	cieco	ciego	aveugle	blind	盲目
caedes	massacro, carneficina	masacre, carnicería	massacre, bain de sang, hécatombe, boucherie	massacre, bloodbath, slaughter, carnage, butchery, bloodshed, blood bath	大虐殺
caelum	cielo; cielo	cielo; cielo	ciel; ciel	heaven, sky; sky	; 空
caeruleus	azzurro, blu	azul	bleu	blue	青
caesium	cesio	cesio	césium	caesium	セシウム
calamarius	astuccio	cartuchera, estuche, estuche escolar	trousse, trousse d'écolier, trousse à crayons, cassette, cassette d'écolier, plumier	pencil case, pencil box	筆箱
calcium	calcio	calcio	calcium	calcium	カルシウム
caldarium	calidarium, calidario		caldarium	caldarium, calidarium	
calendarium	calendario	calendario	calendrier	calendar	カレンダー
calibra	calibro	calibre	calibre	caliber	口径
calidarium	calidarium, calidario		caldarium	caldarium, calidarium	
calidoscopium	caleidoscopio	caleidoscopio	kaléidoscope	kaleidoscope	万華鏡
californium	californio	californio	californium	californium	カリホルニウム
calva	cranio; calotta cranica	cráneo; cráneo, calota, bóveda craneal	crâne; calotte crânienne	skull; skullcap, skull cap, calvaria, calva	頭蓋骨; 
calvaria	calotta cranica	cráneo, calota, bóveda craneal	calotte crânienne	skullcap, skull cap, calvaria, calva	
calvus	calvo	calvo	chauve	bald	禿
calx	tallone	talón	talon	heel	踵
